split,protocol,carrier_pool,block,lambda,rotation_pooled_r2,rotscale_pooled_r2,rot_scale,pooled_r2,coord_r2,pooled_r2_trainref,perprompt_coord_r2,trainmean_pooled_r2,n_train,n_test,heldout_tasks
canonical,T_task_uA,train,5-7,0.01,0.4567,0.5878,1.6565,0.6409,0.5785,0.6685,,-0.0835,55,14,ag_news ends_with_ing english-french first_digit french-english gerund_to_base initials_two_words past_to_base person_place_thing pos_label smaller_of_pair spanish-english uppercase_word word_polarity
seed0,T_task_uA,train,5-7,0.01,0.3929,0.5097,1.6682,0.539,0.4708,0.5708,,-0.074,55,14,adjective_to_noun ag_news animal_class compound_first day_after_textual_date english-italian hypernym_category language_identification larger_than_1000 next_item next_month_of_date person-instrument present-past starts_with_vowel
seed1,T_task_uA,train,5-7,0.01,0.4376,0.5488,1.6981,0.5694,0.4854,0.5959,,-0.0657,55,14,ag_news capitalize day_after_textual_date english-italian english-spanish german_noun_gender gerund_to_past hypernym_category next_number_digits pos_label singular-plural singular_or_plural spanish-english word_polarity
seed2,T_task_uA,train,5-7,0.01,0.4529,0.5754,1.66,0.6187,0.5521,0.6384,,-0.0545,55,14,animal_plant_object antonym concrete_abstract country-capital english-french first_digit french_noun_gender gerund_to_base national_parks past_to_base person-sport person_place_thing prev_number_digits verb_to_third_person
seed3,T_task_uA,train,5-7,0.01,0.3989,0.5396,1.685,0.5795,0.4923,0.6576,,-0.2281,55,14,ag_news animal_class antonym city-country contains_letter_e first_digit hypernym_category landmark-country larger_than_1000 next_month_of_date park-country person-sport prev_number_digits spanish-english
seed4,T_task_uA,train,5-7,0.01,0.4725,0.61,1.6592,0.6596,0.5934,0.6881,,-0.0913,55,14,animal_plant_object english-italian german-english hypernym_category initials_two_words national_parks natural_manmade next_month_of_date pos_label prev_number_digits sentiment singular-plural spanish-english spanish_noun_gender
seed5,T_task_uA,train,5-7,0.01,0.5094,0.644,1.6763,0.6779,0.5852,0.7083,,-0.1042,55,14,adjective_to_noun agent_noun_to_verb english-italian german-english gerund_to_past iso_date_to_month lowercase_first_letter lowercase_word national_parks park-country person-instrument third_person_to_base us-city-state word_polarity
seed6,T_task_uA,train,5-7,0.01,0.4217,0.5406,1.6547,0.5763,0.4971,0.6077,,-0.08,55,14,concrete_abstract english-spanish first_three_letters french-english french_noun_gender gerund_to_past hypernym_category initials_two_words natural_manmade next_month_of_date past_to_base singular-plural singular_or_plural uppercase_word
seed7,T_task_uA,train,5-7,0.01,0.3912,0.4872,1.6937,0.5019,0.398,0.5403,,-0.0836,55,14,adjective_to_adverb agent_noun_to_verb country-capital english-italian english-portuguese language_identification larger_of_pair national_parks person-instrument pos_label present-past smaller_of_pair third_person_to_base verb_tense_label
seed8,T_task_uA,train,5-7,0.01,0.4567,0.5682,1.6635,0.6158,0.5524,0.6422,,-0.0737,55,14,agent_noun_to_verb city-country contains_letter_e english-italian english-portuguese german_noun_gender initials_two_words national_parks natural_manmade person_place_thing singular-plural smaller_of_pair titlecase_phrase verb_to_third_person
seed9,T_task_uA,train,5-7,0.01,0.477,0.6337,1.6367,0.6826,0.622,0.7165,,-0.1196,55,14,antonym ends_with_ing french-english larger_than_1000 next_item past_to_base person-sport person_place_thing sentiment spanish-english spanish_noun_gender starts_with_vowel titlecase_phrase verb_to_third_person
