icl_example_index,token_role,task,task_group,point_type,x_fv_pc1_raw_dot,y_activation_pc1_raw_dot,prompt_index,query_source_index,query_input,query_output,demo_source_index,demo_input,demo_output,token_position,token_text,token_label
4,pre_label_token,national_parks,train,activation,6.777046203613281,12.651117324829102,0,182,Fort Vancouver National Historic Site,Oregon,158,Piscataway Park,Maryland,59,:,predictive_token
4,pre_label_token,national_parks,train,activation,6.754616737365723,12.818523406982422,1,211,Upper Delaware Scenic and Recreational River,Pennsylvania,290,Appomattox Court House National Historical Park,Virginia,58,:,predictive_token
4,pre_label_token,national_parks,train,activation,6.499473571777344,10.457475662231445,2,201,Salinas Pueblo Missions National Monument,New Mexico,254,National Capital Parks-East,Washington DC,54,:,predictive_token
4,pre_label_token,national_parks,train,activation,5.5477070808410645,12.493033409118652,3,216,Fort Scott National Historic Site,Kansas,10,Fort Larned National Historic Site,Kansas,54,:,predictive_token
4,pre_label_token,national_parks,train,activation,7.059126853942871,12.035009384155273,4,82,Fort Necessity National Battlefield,Pennsylvania,194,Fire Island National Seashore,New York,51,:,predictive_token
4,pre_label_token,national_parks,train,activation,5.72587776184082,11.937780380249023,5,81,Fort Point National Historic Site,California,167,Harry S Truman National Historic Site,Missouri,54,:,predictive_token
4,pre_label_token,national_parks,train,activation,11.824560165405273,15.709664344787598,6,307,Kenai Fjords National Park,Alaska,192,Saguaro National Park,Arizona,51,:,predictive_token
4,pre_label_token,national_parks,train,activation,7.155880928039551,11.977859497070312,7,68,New Bedford Whaling National Historical Park,Massachusetts,79,Colorado National Monument,Colorado,51,:,predictive_token
4,pre_label_token,national_parks,train,activation,6.149374961853027,11.107497215270996,8,276,Boston African American National Historic Site,Massachusetts,239,Boston Harbor Islands National Recreation Area,Massachusetts,52,:,predictive_token
4,pre_label_token,national_parks,train,activation,12.584965705871582,15.005291938781738,9,46,Edgar Allan Poe National Historic Site,Pennsylvania,124,White Sands National Park,New Mexico,51,:,predictive_token
4,pre_label_token,national_parks,train,activation,5.74302864074707,11.162487030029297,10,112,Ste. Genevieve National Historical Park,Missouri,267,Honouliuli National Historic Site,Hawaii,52,:,predictive_token
4,pre_label_token,national_parks,train,activation,5.4974212646484375,9.952167510986328,11,192,Saguaro National Park,Arizona,6,Cape Cod National Seashore,Massachusetts,53,:,predictive_token
4,pre_label_token,national_parks,train,activation,6.356736183166504,11.88024616241455,12,58,Harriet Tubman Underground Railroad National Historical Park,Maryland,257,Castle Clinton National Monument,New York,55,:,predictive_token
