task,times_heldout,mean_r2_ownmean,mean_r2_poolref,note
adjective_to_adverb,1,-0.8586,0.1525,
adjective_to_noun,3,-0.0795,0.2868,
agent_noun_to_verb,2,-0.1314,0.3241,
animal_class,2,-1.3415,0.1771,
animal_plant_object,1,-1.2816,0.1881,
antonym,2,-0.4217,0.1192,
article_choice,4,-2.8219,-0.043,
capitalize,1,-0.3578,0.2514,
capitalize_first_letter,4,-0.7923,0.2033,
city-country,2,-0.1308,0.4758,
compound_first,1,-0.212,0.2707,
concrete_abstract,1,-6.218,-0.2826,
contains_letter_e,6,0.0113,0.6471,
day_after_textual_date,1,-11.9344,-1.2031,
ends_with_ing,1,-0.016,0.6903,canonical_heldout
english-french,1,-0.176,0.2319,canonical_heldout
english-italian,2,-0.1675,0.2318,
english-spanish,3,-0.0878,0.255,
first_digit,3,-1.4131,0.0689,canonical_heldout
first_three_letters,2,-0.4599,0.2409,
french-english,3,-0.0174,0.2764,canonical_heldout
french_noun_gender,1,-0.2384,0.6817,
german-english,2,-0.0631,0.2331,
german_noun_gender,2,-3.8177,-0.1295,
gerund_to_base,2,-0.0445,0.3927,canonical_heldout
gerund_to_past,3,-0.1973,0.2707,
hypernym_category,1,-0.6214,0.2412,
initials_two_words,2,-2.266,-0.0157,canonical_heldout
iso_date_to_month,2,-2.5399,-0.1192,
iso_date_year_plus_one,2,-1.3964,0.1164,
landmark-country,1,-0.1283,0.5261,
larger_of_pair,2,-0.1335,0.4305,
larger_than_1000,3,-2.1444,0.2508,
lowercase_first_letter,3,-1.2442,0.1019,
lowercase_word,1,-0.3641,0.1847,
national_parks,2,-0.4244,0.4309,
natural_manmade,2,-4.7938,-0.3084,
next_item,2,-0.4098,0.1577,
next_month_of_date,2,-1.8824,0.1157,
next_number_digits,2,-0.5544,0.2486,
number_word_to_digits,3,-1.4557,0.1088,
park-country,4,-0.3288,0.4955,
past_to_base,4,-0.0973,0.3487,canonical_heldout
person-sport,1,-2.2872,0.0192,
person_place_thing,4,-2.0671,0.106,canonical_heldout
pos_label,3,-1.954,-0.0901,canonical_heldout
present-past,5,-0.2291,0.31,
prev_number_digits,3,-0.7129,0.1816,
product-company,1,-1.9121,-0.0066,
sentiment,2,-6.1425,-0.0253,
singular-plural,3,-0.4072,0.2639,
singular_or_plural,2,-4.1248,-0.4138,
smaller_of_pair,2,-0.1333,0.4379,canonical_heldout
spanish-english,2,-0.016,0.272,canonical_heldout
spanish_noun_gender,2,-0.319,0.671,
starts_with_vowel,2,-6.0424,-0.1723,
third_person_to_base,1,-0.0665,0.372,
titlecase_phrase,1,-0.8302,0.1208,
uppercase_word,2,-1.1078,0.0394,canonical_heldout
us-city-state,2,-0.3916,0.3996,
verb_tense_label,4,-4.6386,-0.1,
verb_to_third_person,3,-0.2277,0.2449,
word_polarity,1,-5.1524,-0.0943,canonical_heldout
