task,family,cf_task,cf_family,cos_own_cf
adjective_to_adverb,morphology_linguistic,french-english,translation,0.7333
adjective_to_noun,morphology_linguistic,english-spanish,translation,0.7847
adverb_to_adjective,morphology_linguistic,first_digit,string_manipulation,0.6328
ag_news,text_classification,english-french,translation,0.5481
agent_noun_to_verb,morphology_linguistic,next_number_digits,numerical,0.5769
animal_class,world_knowledge,singular_or_plural,morphology_linguistic,0.6644
animal_plant_object,world_knowledge,article_choice,morphology_linguistic,0.7014
antonym,morphology_linguistic,next_month_of_date,numerical,0.6134
article_choice,morphology_linguistic,product-company,world_knowledge,0.6248
capitalize,string_manipulation,prev_number_digits,numerical,0.6332
capitalize_first_letter,string_manipulation,second_digit,numerical,0.6994
city-country,world_knowledge,english-french,translation,0.6504
commonsense_qa,text_classification,prev_item,numerical,0.6418
compound_first,string_manipulation,person-instrument,world_knowledge,0.6466
compound_head,morphology_linguistic,capitalize,string_manipulation,0.7421
concrete_abstract,world_knowledge,times_five,numerical,0.4825
contains_letter_e,string_manipulation,hypernym_category,world_knowledge,0.604
count_digits,numerical,us-city-state,world_knowledge,0.5818
count_words,numerical,german-english,translation,0.6532
country-capital,world_knowledge,remove_first_letter,string_manipulation,0.5191
day_after_textual_date,numerical,first_three_letters,string_manipulation,0.5033
double_no_carry,numerical,first_letter_second_word,string_manipulation,0.5814
double_number,numerical,compound_first,string_manipulation,0.5521
ends_with_ing,string_manipulation,next_in_group,world_knowledge,0.4168
english-french,translation,last_vowel,string_manipulation,0.6522
english-german,translation,adjective_to_adverb,morphology_linguistic,0.7152
english-italian,translation,person_place_thing,world_knowledge,0.5975
english-portuguese,translation,adjective_to_noun,morphology_linguistic,0.7876
english-spanish,translation,adjective_to_adverb,morphology_linguistic,0.7372
first_digit,string_manipulation,verb_to_third_person,morphology_linguistic,0.5886
first_letter_second_word,string_manipulation,double_no_carry,numerical,0.5814
first_three_letters,string_manipulation,singular_or_plural,morphology_linguistic,0.5408
first_two_letters,string_manipulation,day_after_textual_date,numerical,0.5039
first_vowel,string_manipulation,person_place_thing,world_knowledge,0.6042
french-english,translation,larger_of_pair,numerical,0.6197
french_noun_gender,morphology_linguistic,english-italian,translation,0.6031
german-english,translation,french_noun_gender,morphology_linguistic,0.6258
german_noun_gender,morphology_linguistic,first_two_letters,string_manipulation,0.6109
gerund_to_base,morphology_linguistic,sentiment,text_classification,0.5658
gerund_to_past,morphology_linguistic,contains_letter_e,string_manipulation,0.5576
halve_even_number,numerical,capitalize_first_letter,string_manipulation,0.5836
hypernym_category,world_knowledge,ends_with_ing,string_manipulation,0.6131
initials_two_words,string_manipulation,past_to_base,morphology_linguistic,0.6353
iso_date_to_month,numerical,present-past,morphology_linguistic,0.6086
iso_date_year_plus_one,numerical,landmark-country,world_knowledge,0.6109
landmark-country,world_knowledge,adjective_to_noun,morphology_linguistic,0.6559
language_identification,world_knowledge,german-english,translation,0.7269
larger_of_pair,numerical,sentiment,text_classification,0.5525
larger_than_1000,numerical,next_in_period,world_knowledge,0.3906
largest_digit,numerical,spanish-english,translation,0.6099
last_digit,numerical,spanish_noun_gender,morphology_linguistic,0.4883
