task,group,cf_task,zero_shot,n1_baseline,n1_mean_ablation_mr11,n1_zero_ablation_mr11,n1_cf_mean_ablation_mr11,n1_cf_zero_ablation_mr11,n1_mean_ablation_mr3,n1_zero_ablation_mr3,n1_cf_mean_ablation_mr3,n1_cf_zero_ablation_mr3,n6_baseline,n6_mean_ablation_mr11,n6_zero_ablation_mr11,n6_cf_mean_ablation_mr11,n6_cf_zero_ablation_mr11,n6_mean_ablation_mr3,n6_zero_ablation_mr3,n6_cf_mean_ablation_mr3,n6_cf_zero_ablation_mr3
adjective_to_adverb,train,french-english,0.0,0.2533,0.0,0.0,0.24,0.1867,0.0,0.0,0.2467,0.1733,0.7067,0.0,0.0067,0.68,0.6733,0.0067,0.0067,0.6867,0.6867
adjective_to_noun,train,english-portuguese,0.0,0.12,0.08,0.0467,0.1133,0.1133,0.08,0.04,0.12,0.1133,0.3133,0.1,0.1067,0.3867,0.3267,0.1267,0.1,0.3867,0.3267
ag_news,heldout,english-french,0.0,0.1533,0.04,0.04,0.14,0.1467,0.04,0.04,0.14,0.1467,0.3333,0.0,0.0067,0.3933,0.4467,0.0,0.0067,0.4,0.4333
agent_noun_to_verb,train,number_word_to_digits,0.0,0.2333,0.0467,0.0267,0.2067,0.1867,0.04,0.0267,0.2067,0.1867,0.5867,0.1,0.0933,0.54,0.5733,0.1067,0.0933,0.56,0.5733
animal_class,train,spanish-english,0.0,0.2333,0.0067,0.0067,0.2333,0.2533,0.0067,0.0067,0.24,0.2467,0.6533,0.04,0.0133,0.7533,0.6933,0.04,0.0133,0.7467,0.7
animal_plant_object,train,antonym,0.0,0.08,0.0,0.0133,0.1267,0.08,0.0,0.0133,0.14,0.0733,0.5933,0.04,0.0067,0.6867,0.56,0.04,0.0133,0.6667,0.5533
antonym,train,next_number_digits,0.0133,0.0333,0.02,0.0,0.02,0.0667,0.02,0.0,0.0267,0.0667,0.32,0.04,0.0133,0.3667,0.4,0.0533,0.0133,0.36,0.4
article_choice,train,prev_number_digits,0.0,0.06,0.0067,0.0133,0.04,0.06,0.0067,0.0067,0.04,0.06,0.5333,0.0,0.0,0.5267,0.4867,0.0,0.0067,0.52,0.4733
capitalize,train,prev_number_digits,0.0,0.2733,0.0333,0.0133,0.2733,0.22,0.0467,0.0133,0.28,0.2267,0.9067,0.02,0.04,0.9267,0.88,0.0267,0.0533,0.9267,0.88
capitalize_first_letter,train,sentiment,0.0,0.0733,0.0,0.0,0.0533,0.0667,0.0,0.0,0.0467,0.0667,0.6067,0.0067,0.0067,0.5733,0.6067,0.0,0.0067,0.58,0.6333
city-country,train,english-italian,0.0067,0.3533,0.0133,0.0,0.2667,0.32,0.0133,0.0,0.2667,0.3133,0.74,0.0067,0.0067,0.6933,0.7333,0.0067,0.0067,0.7,0.7333
compound_first,train,person-sport,0.0,0.1133,0.0733,0.06,0.1333,0.1,0.0667,0.06,0.12,0.1067,0.5467,0.1467,0.1533,0.5,0.4533,0.18,0.1467,0.5,0.4533
concrete_abstract,train,verb_tense_label,0.0,0.02,0.0067,0.0133,0.02,0.0333,0.0067,0.0133,0.02,0.0333,0.4267,0.0133,0.0,0.4867,0.4733,0.0133,0.0,0.4667,0.5067
contains_letter_e,train,iso_date_to_month,0.0267,0.2267,0.0133,0.02,0.24,0.1533,0.0133,0.02,0.2467,0.1733,0.54,0.0333,0.0467,0.48,0.4467,0.04,0.0533,0.48,0.4467
country-capital,train,sentiment,0.0,0.46,0.02,0.0133,0.5667,0.5067,0.0333,0.0133,0.5667,0.5267,0.7533,0.02,0.0,0.7733,0.74,0.02,0.0,0.76,0.7533
day_after_textual_date,train,first_digit,0.0,0.4267,0.0067,0.0067,0.4133,0.28,0.0067,0.0067,0.4,0.2733,0.9533,0.04,0.1,0.9333,0.9533,0.0267,0.08,0.94,0.9467
ends_with_ing,heldout,next_month_of_date,0.0067,0.26,0.0467,0.0467,0.2867,0.2133,0.0467,0.0467,0.2933,0.2133,0.5133,0.02,0.1,0.48,0.42,0.02,0.12,0.4867,0.4067
english-french,heldout,lowercase_word,0.0,0.1867,0.0,0.0,0.2333,0.2067,0.0,0.0,0.24,0.2133,0.5533,0.0067,0.0067,0.64,0.54,0.0067,0.0133,0.6467,0.54
english-italian,train,plural_to_singular,0.0,0.2333,0.0,0.0,0.2,0.1533,0.0,0.0,0.2,0.1667,0.5467,0.0,0.0,0.5533,0.56,0.0,0.0,0.56,0.5533
english-portuguese,train,adjective_to_adverb,0.0,0.28,0.0,0.0,0.2933,0.2467,0.0,0.0,0.3067,0.22,0.54,0.0,0.0067,0.5533,0.5867,0.0,0.0,0.5533,0.5667
english-spanish,train,adjective_to_adverb,0.0,0.2933,0.0,0.0,0.3067,0.2267,0.0,0.0,0.3,0.2333,0.5667,0.0,0.0,0.6267,0.52,0.0,0.0,0.6267,0.5333
first_digit,heldout,word_polarity,0.0067,0.06,0.0267,0.0267,0.06,0.0733,0.0333,0.0267,0.06,0.0733,0.6067,0.0467,0.06,0.6,0.5467,0.0467,0.0533,0.64,0.56
first_three_letters,train,singular_or_plural,0.0,0.1,0.0,0.0067,0.0733,0.0733,0.0,0.0,0.0733,0.08,0.3067,0.04,0.0067,0.34,0.36,0.04,0.02,0.3467,0.36
french-english,heldout,language_identification,0.0,0.4533,0.1067,0.12,0.42,0.4067,0.12,0.12,0.42,0.4067,0.62,0.2733,0.3733,0.56,0.6267,0.3133,0.3933,0.56,0.6267
french_noun_gender,train,english-italian,0.0,0.1867,0.0,0.0,0.18,0.1133,0.0,0.0,0.2,0.1467,0.6533,0.0067,0.0133,0.5733,0.4533,0.0067,0.02,0.56,0.4867
german-english,train,german_noun_gender,0.0,0.2933,0.06,0.08,0.32,0.32,0.06,0.08,0.32,0.32,0.6533,0.2933,0.1867,0.62,0.64,0.3,0.22,0.6133,0.6467
german_noun_gender,train,first_three_letters,0.0,0.0933,0.0,0.0,0.1,0.0467,0.0,0.0,0.0867,0.0467,0.38,0.04,0.0667,0.4333,0.38,0.04,0.0667,0.44,0.3667
gerund_to_base,heldout,spanish-english,0.0,0.2133,0.08,0.0467,0.3,0.1133,0.1,0.0533,0.2933,0.1067,0.72,0.12,0.1,0.6133,0.6,0.14,0.0933,0.6267,0.6467
gerund_to_past,train,compound_first,0.0,0.1733,0.0133,0.0067,0.1467,0.1933,0.0133,0.0067,0.1467,0.18,0.6067,0.0133,0.0133,0.5867,0.5533,0.0133,0.02,0.6067,0.58
hypernym_category,train,english-french,0.0,0.12,0.0,0.0133,0.1267,0.1,0.0,0.0133,0.1133,0.0933,0.32,0.0,0.0067,0.3733,0.3533,0.0067,0.0067,0.3867,0.36
initials_two_words,heldout,person-instrument,0.0,0.04,0.0,0.0,0.0333,0.0133,0.0,0.0,0.0333,0.0133,0.6933,0.0067,0.0,0.6067,0.6267,0.0067,0.0,0.5933,0.62
iso_date_to_month,train,product-company,0.0,0.3333,0.02,0.0067,0.3133,0.2333,0.0267,0.0067,0.3,0.22,0.9733,0.1067,0.08,0.9667,0.9467,0.1067,0.1067,0.9667,0.9467
iso_date_year_plus_one,train,initials_two_words,0.0,0.1133,0.0133,0.0067,0.1533,0.1,0.0067,0.0,0.16,0.1333,0.8467,0.0667,0.0467,0.88,0.9067,0.0733,0.0333,0.8733,0.9333
landmark-country,train,adjective_to_adverb,0.0,0.1533,0.0067,0.0067,0.1733,0.16,0.0067,0.0067,0.22,0.18,0.5,0.0,0.0133,0.4867,0.4933,0.0,0.0133,0.4867,0.4933
language_identification,train,german_noun_gender,0.0,0.12,0.0,0.0,0.1,0.1067,0.0,0.0,0.1067,0.1067,0.7667,0.0,0.0,0.7333,0.74,0.0,0.0,0.7333,0.7333
larger_of_pair,train,singular_or_plural,0.0,0.24,0.1133,0.0933,0.2733,0.2733,0.1,0.1,0.2533,0.28,0.56,0.4,0.4467,0.5533,0.5133,0.4,0.4733,0.56,0.52
larger_than_1000,train,past_to_base,0.0,0.18,0.0267,0.02,0.1533,0.1267,0.0333,0.02,0.1533,0.1667,0.5267,0.12,0.1067,0.5,0.4667,0.1267,0.1267,0.4933,0.4533
lowercase_first_letter,train,country-capital,0.0,0.16,0.0,0.0,0.1133,0.1267,0.0,0.0,0.1067,0.1467,0.6533,0.0,0.0067,0.64,0.68,0.0,0.0133,0.6533,0.66
lowercase_word,train,product-company,0.0,0.4267,0.1467,0.1133,0.4267,0.46,0.1667,0.1333,0.4333,0.4267,0.9733,0.46,0.2533,0.9667,0.9667,0.4267,0.28,0.96,0.96
national_parks,train,past_to_base,0.0,0.2933,0.0067,0.0067,0.2933,0.3,0.0067,0.0067,0.2867,0.3133,0.5267,0.0,0.0067,0.5667,0.4933,0.0,0.0067,0.56,0.4867
natural_manmade,train,pos_label,0.0,0.02,0.0133,0.0133,0.06,0.0467,0.0133,0.0133,0.06,0.0467,0.6467,0.0667,0.08,0.6467,0.6,0.0733,0.08,0.6333,0.62
next_item,train,plural_to_singular,0.0267,0.1133,0.0133,0.0333,0.1067,0.0733,0.0133,0.0333,0.1133,0.08,0.5,0.04,0.0133,0.4733,0.42,0.0333,0.02,0.4733,0.4067
next_month_of_date,train,verb_tense_label,0.0067,0.1467,0.0067,0.02,0.1733,0.0933,0.0067,0.02,0.16,0.0933,0.6733,0.02,0.0,0.4867,0.5267,0.02,0.0067,0.5067,0.5133
next_number_digits,train,pos_label,0.0133,0.2533,0.0067,0.0267,0.26,0.2133,0.0,0.0267,0.26,0.2467,0.8867,0.04,0.0533,0.8867,0.8867,0.0333,0.04,0.8867,0.8933
number_word_to_digits,train,person-sport,0.0,0.5467,0.1533,0.1667,0.4533,0.42,0.1667,0.18,0.46,0.44,0.7067,0.2533,0.22,0.7267,0.7,0.3,0.2533,0.7333,0.7067
park-country,train,german-english,0.0,0.2933,0.0333,0.02,0.3133,0.3,0.0267,0.02,0.3133,0.2933,0.52,0.0067,0.0133,0.5133,0.48,0.0067,0.0067,0.5133,0.48
