category,family,language,natural,alternative,example,status
Naming,py_snake_camel,Python,snake_case identifiers,camelCase identifiers,input_text  →  inputText,in pool
Naming,js_camel_snake,JavaScript,camelCase identifiers,snake_case identifiers,testThree  →  test_three,in pool
Naming,js_func_pascal,JavaScript,camelCase function names,PascalCase function names,addNumbers  →  AddNumbers,dropped: below .30 at the cheap check
Naming,py_const_naming,Python,UPPER_SNAKE constants,camelCase constants,MAX_LENGTH  →  maxLength,in pool
Naming,py_class_naming,Python,PascalCase class names,snake_case class names,MaxFinder  →  max_finder,in pool
Naming,py_private,Python,single-underscore private attributes,double-underscore private attributes,_delimiter  →  __delimiter,in pool
Naming,py_bool_prefix,Python,is_/has_ boolean names,bare boolean names,is_vowel_char  →  vowel_char,dropped: alternative pole .12 at k = 4 after the rebuild
Naming,py_loop_vars,Python,single-letter loop variables,descriptive loop variables,"k, v  →  key, value",in pool
Naming,js_hungarian,JavaScript,plain identifiers,Hungarian notation,isReversed  →  bIsReversed,in pool
Naming,py_abbrev,Python,abbreviated identifiers,spelled-out identifiers,neg_c_val  →  neg_c_value,in pool
Literals,py_quotes,Python,single-quoted strings,double-quoted strings,"'__main__'  →  ""__main__""",in pool
Literals,js_quotes,JavaScript,double-quoted strings,single-quoted strings,""", ""hello""  →  ', 'hello'",in pool
Literals,py_fstring,Python,f-strings,str.format,"}: {number}""  →  , number)",in pool
Literals,js_template,JavaScript,template literals,string concatenation,"${result}`  →  "" + result",in pool
Literals,num_separators,Python,plain numeric literals,underscore digit separators,999999999  →  999_999_999,in pool
Literals,hex_constants,JavaScript,decimal constants,hexadecimal constants,86400000  →  0x5265c00,in pool
Literals,float_literals,Python,full float literals,abbreviated float literals,0.000  →  .0,in pool
Literals,sql_bool_case,SQL,lowercase true/false,uppercase TRUE/FALSE,"true, false  →  TRUE, FALSE",in pool
Syntax / dialect,py2_print,Python,print() function,print statement,"{index}"")  →  %s"" % index",in pool
Syntax / dialect,py2_iter,Python,range/items/keys,xrange/iteritems/iterkeys,"f""{i:02d}""  →  ""%02d"" % i",in pool
Syntax / dialect,py2_except,Python,except E as e,"except E, e"," as  →  ,",in pool
Syntax / dialect,js_var,JavaScript,const/let,var,const  →  var,in pool
Syntax / dialect,js_arrow,JavaScript,arrow functions,function expressions,() =>  →  function(),in pool
Syntax / dialect,js_semicolons,JavaScript,semicolons,no semicolons,;;  →  ,in pool
Syntax / dialect,js_strict_eq,JavaScript,=== / !==,== / !=,0123456789abcdef  →  01234123456789abcdef,in pool
Syntax / dialect,trailing_commas,Python,trailing commas,no trailing commas,"1000,  →  100",in pool
Syntax / dialect,py_paren_if,Python,if x:,if (x):,clean_word  →  (clean_word),in pool
Syntax / dialect,py_type_hints,Python,type hints,no type hints,: set[str]  →  ,in pool
Syntax / dialect,py_optional,Python,X | None,Optional[X],int | None  →  Optional[int],in pool
Syntax / dialect,py_builtin_generics,Python,list[int] builtins,typing.List,list[tuple  →  List[Tuple,in pool
Syntax / dialect,py_literal_ctor,Python,{} / [] literals,dict() / list() constructors,"[], []  →  list(), list()",dropped: below .30 at the cheap check
Syntax / dialect,py_comprehension,Python,list comprehensions,explicit loops,unique_vowels  →  temp_list,in pool
Syntax / dialect,py_not_in,Python,x not in y,not x in y,ticker not  →  not ticker,in pool
Syntax / dialect,py_is_none,Python,is None,== None,is not  →  !=,in pool
Syntax / dialect,py_ternary,Python,conditional expressions,if/else blocks,has_numbers  →  current_index,in pool
Syntax / dialect,early_return,Python,guard clauses,nested if/else,Internal error:  →  Calculated,in pool
Syntax / dialect,py_join_concat,Python,str.join,+ concatenation,", status])  →   + status",in pool
Syntax / dialect,py_with_open,Python,with open(...),open() / close(),with  →  log_file =,in pool
Syntax / dialect,py_enumerate,Python,enumerate,range(len()),target_val  →  targets[i],in pool
Syntax / dialect,py_self_name,Python,self,this,self  →  this,in pool
Formatting,py_indent,Python,4-space indentation,2-space indentation,⏎␣␣␣␣#␣␣␣␣   →  ⏎  #   ,dropped: alternative pole .24 at k = 4 after the rebuild
Formatting,py_tabs,Python,spaces,tabs,⏎␣␣␣␣⏎␣␣␣␣  →  ⏎⇥⏎⇥,in pool
Formatting,c_braces,C,K&R braces,Allman braces,,dropped: below .30 at the cheap check
Formatting,operator_spaces,Python,spaces around operators,no spaces around operators, = result1 +   →  =result1+,in pool
Formatting,comma_space,Python,space after comma,no space after comma," char_list,   →  char_list,",in pool
Formatting,line_wrap,Python,wrapped long calls,single long lines,⏎␣␣␣␣␣␣␣␣  →  ␣␣␣␣␣␣␣␣,in pool
Formatting,blank_lines,Python,two blank lines between defs,one blank line,⏎⏎␣␣␣␣  →  ⏎␣␣␣␣,in pool
Comments / docs,docstring_style,Python,Google docstrings,NumPy docstrings, as a float  →  ,in pool
Comments / docs,docstring_quotes,Python,triple double quotes,triple single quotes,"""""""  →  '''",in pool
Comments / docs,comment_case,Python,capitalised comments,lowercase comments,Initialize  →  initialize,in pool
Comments / docs,comment_language,Python,English comments,Spanish comments,Initialize  →  Inicializa,in pool
Comments / docs,c_comment_style,JavaScript,// comments,/* */ comments,// false  →  */ /* false */,in pool
Other languages,sql_keyword_case,SQL,uppercase keywords,lowercase keywords,SELECT SUM  →  select sum,in pool
Other languages,sql_join_style,SQL,explicit JOIN ... ON,implicit comma join,WHERE  →  AND,in pool
Other languages,r_assignment,R,<- assignment,= assignment,<-  →  =,in pool
Other languages,rust_question,Rust,? operator,explicit match,assert_eq!(  →  let res = ,in pool
Other languages,bash_test,Bash,[[ ]] tests,[ ] tests,=~ /$ ]]  →  | grep -q '/$',in pool
Other languages,bash_subst,Bash,$(...) substitution,backtick substitution,$(mktemp)  →  `mktemp`,dropped: below .30 at the cheap check
Other languages,css_shorthand,CSS,long hex / 0px,short hex / 0,0px 0px  →  0 0,dropped: below .30 at the cheap check
Other languages,php_array,PHP,[] arrays,array() arrays,...$lengths]  →  $lengths),in pool
