ag_news (n=7600): "Fears for T N pension after talks Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent firm Federal Mogul."->'Business'; 'The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second\\team of rocketeers competing for the  #36;10 million Ansari X Prize, a contest for\\privately funded suborbital space flight, has officially announced the first\\launch date for its manned rocket.'->'Science'
antonym (n=2398): 'flawed'->'perfect'; 'orthodox'->'unorthodox'
capitalize (n=813): 'without'->'Without'; 'emu'->'Emu'
capitalize_first_letter (n=813): 'whose'->'W'; 'deliver'->'D'
capitalize_last_letter (n=814): 'throughout'->'T'; 'skunk'->'K'
capitalize_second_letter (n=787): 'chinchilla'->'H'; 'lively'->'I'
commonsense_qa (n=10962): 'The sanctions against the school were a punishing blow, and they seemed to what the efforts the school had made to change?\na: ignore\nb: enforce\nc: authoritarian\nd: yell at\ne: avoid'->'a'; 'Sammy wanted to go to where the people were.  Where might he go?\na: race track\nb: populated areas\nc: the desert\nd: apartment\ne: roadblock'->'b'
count_consonants (n=300): 'pale'->'2'; 'rage'->'2'
count_vowels (n=300): 'pale'->'2'; 'rage'->'2'
country-capital (n=197): 'Afghanistan'->'Kabul'; 'Albania'->'Tirana'
country-currency (n=197): 'Afghanistan'->'Afghani (AFN)'; 'Albania'->'Albanian Lek (ALL)'
east_neighbor (n=244): 'Afghanistan'->'Pakistan'; 'Aland Islands'->'Finland'
english-french (n=4698): 'dependent'->'dépendant'; 'those'->'ceux'
english-german (n=5145): 'seminary'->'seminar'; 'contributed'->'beitragen'
english-spanish (n=5199): 'proposal'->'propuesta'; 'journal'->'diario'
identity (n=600): '1'->'1'; '2'->'2'
landmark-country (n=836): 'Autonomous University of Madrid'->'Spain'; 'Pochepsky District'->'Russia'
lowercase_first_letter (n=814): 'WITTY'->'w'; 'SPICY'->'s'
lowercase_last_letter (n=814): 'PILLOW'->'w'; 'GAZELLE'->'e'
magnitude (n=600): '1'->'1'; '2'->'2'
national_parks (n=451): 'Birmingham Civil Rights National Monument'->'Alabama'; 'Freedom Riders National Monument'->'Alabama'
next_capital_letter (n=814): 'hammock'->'I'; 'build'->'C'
next_in_group (n=66): 'Hydrogen'->'Lithium'; 'Lithium'->'Sodium'
next_in_period (n=66): 'Hydrogen'->'Helium'; 'Lithium'->'Beryllium'
next_item (n=225): 'zero'->'one'; 'one'->'two'
next_number (n=200): 'one'->'two'; 'two'->'three'
next_number_digits (n=200): '1'->'2'; '2'->'3'
park-country (n=749): 'Band-e Amir National Park'->'Afghanistan'; 'Wakhan National Park'->'Afghanistan'
person-instrument (n=510): 'Toko Yasuda'->'guitar'; 'Tom Fletcher'->'guitar'
person-occupation (n=821): 'Billy Roche'->'actor'; 'Arun Nehru'->'politician'
person-sport (n=318): 'Andreas Ivanschitz'->'soccer'; 'Roberto Clemente'->'baseball'
present-past (n=293): 'accelerate'->'accelerated'; 'adapt'->'adapted'
prev_item (n=225): 'one'->'zero'; 'two'->'one'
prev_number (n=200): 'one'->'zero'; 'two'->'one'
prev_number_digits (n=200): '1'->'0'; '2'->'1'
product-company (n=522): 'Platform Controller Hub'->'Intel'; 'Shahab-2'->'Iran'
rhyme (n=200): 'ability'->'anti'; 'able'->'disable'
sentiment (n=1167): 'unpretentious, charming, quirky, original'->'positive'; 'Very well-written and very well-acted.'->'positive'
singular-plural (n=205): 'wallet'->'wallets'; 'keychain'->'keychains'
synonym (n=2880): 'curse'->'swear'; 'notorious'->'infamous'
west_neighbor (n=244): 'Afghanistan'->'Turkmenistan'; 'Aland Islands'->'Sweden'
word_length (n=814): 'along'->'5'; 'ant'->'3'
