task,group,baseline,a0.5,a1.0,a2.0,a4.0,best,ref_fullmeanL6_a0.5,ref_fullmeanL6_a1.0,ref_fullmeanL6_a2.0,ref_fullmeanL6_a4.0,ref_fullmeanL6_best,ref_real6
adjective_to_adverb,train,0.0,0.2733,0.6267,0.6933,0.6733,0.6933,0.0,0.04,0.6867,0.7,0.7,0.7067
adjective_to_noun,train,0.0,0.0333,0.4,0.4667,0.4333,0.4667,0.0,0.0333,0.4067,0.3867,0.4067,0.3133
ag_news,heldout,0.0,0.22,0.3533,0.32,0.2667,0.3533,0.0,0.0,0.1133,0.0667,0.1133,0.3333
agent_noun_to_verb,train,0.0,0.02,0.5733,0.6933,0.7333,0.7333,0.0,0.0333,0.4533,0.6,0.6,0.5867
animal_class,train,0.0,0.6467,0.6933,0.6,0.5667,0.6933,0.0,0.0733,0.3467,0.36,0.36,0.6533
animal_plant_object,train,0.0,0.3867,0.4067,0.4533,0.3,0.4533,0.0,0.0067,0.0867,0.1933,0.1933,0.5933
antonym,train,0.0,0.02,0.3133,0.3267,0.4133,0.4133,0.0,0.0067,0.12,0.2067,0.2067,0.32
article_choice,train,0.0,0.3,0.4267,0.4267,0.3667,0.4267,0.0,0.0,0.12,0.2467,0.2467,0.5333
capitalize,train,0.0,0.0733,0.8733,0.7867,0.8467,0.8733,0.0,0.22,0.8533,0.8933,0.8933,0.9067
capitalize_first_letter,train,0.0,0.3933,0.6267,0.6067,0.5533,0.6267,0.0067,0.14,0.76,0.72,0.76,0.6067
city-country,train,0.0,0.58,0.5467,0.5267,0.5267,0.58,0.0,0.0333,0.5133,0.5733,0.5733,0.74
compound_first,train,0.0,0.0267,0.4867,0.5267,0.5733,0.5733,0.0,0.0067,0.4133,0.4867,0.4867,0.5467
concrete_abstract,train,0.0,0.36,0.4,0.3933,0.32,0.4,0.0,0.0,0.1733,0.3067,0.3067,0.4267
contains_letter_e,train,0.0,0.3733,0.3733,0.36,0.3,0.3733,0.0,0.0,0.28,0.3667,0.3667,0.54
country-capital,train,0.0,0.7933,0.7933,0.76,0.7533,0.7933,0.0,0.0933,0.6933,0.6667,0.6933,0.7533
day_after_textual_date,train,0.0,0.2667,0.3533,0.0933,0.0,0.3533,0.0,0.0,0.0867,0.08,0.0867,0.9533
